Anbieter;Lösung;Systemart
Percona;Patroni;Monolitisch
EnterpriseDB;Patroni;Monolitisch
KSGR Lösung;Eigenes System;Monolitisch
The Pgpool Global Development Group;pgpool-II;Monolitisch
hapostgres;pg\_auto\_failover;Monolitisch
EnterpriseDB;CloudNativePG;Monolitisch
Zalando SE.;Patroni;Monolitisch
OnGres, Inc.;StackGres;Monolitisch / Distributed SQL
Citus Data, a Microsoft Company;Citus;Distributed SQL
Yugabyte, Inc.;YugabyteDB;Distributed SQL
